system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;79;491;index;0.0020366599;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;80;1040;index;0.0009615385;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;81;2901;index;0.0003447087;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;82;1722;index;0.0005807201;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;83;1935;index;0.0005167959;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;84;181;index;0.0055248619;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;85;986;index;0.0010141988;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;86;1080;index;0.0009259259;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;87;751;index;0.0013315579;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;88;4070;index;0.0002457002;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;89;3429;index;0.0002916302;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;90;3410;index;0.0002932551;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;91;20482;index;4.88233570940338E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;92;20410;index;4.89955903968643E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;93;23888;index;0.000041862;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;94;1573;index;0.0006357279;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;95;1231;index;0.0008123477;
